Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen21_Ind2625,1000100111101100011011100,5,20,192,0.95,1,1,0.99,4.379337852180072
2,Gen22_Ind2724,1000100111101100000011100,5,20,192,0.95,1,2,0.99,4.379337852180072
3,Gen23_Ind2864,1000100111101100011011100,5,20,32,0.95,1,5,0.99,4.379337852180072
4,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
5,Gen26_Ind3292,1000100111101100000011100,5,20,192,0.95,1,2,0.99,4.379337852180072
6,Gen27_Ind3334,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
7,Gen20_Ind2495,1000100111101100011011010,5,20,16,0.95,1,3,0.9,4.379331159746413
8,Gen26_Ind3243,1000100100101100000001010,5,20,128,0.95,1,1,0.9,4.379331159746413
9,Gen14_Ind1735,1000100111101100011011011,5,20,32,0.95,1,9,0.95,4.379327813537254
10,Gen17_Ind2066,1000100111101100011011011,5,20,64,0.95,1,8,0.95,4.379327813537254
11,Gen28_Ind3433,1000100111101100000111011,5,20,64,0.95,1,4,0.95,4.379327813537254
12,Gen28_Ind3432,1000100111101100010111011,5,20,16,0.95,1,10,0.95,4.37928431328352
13,Gen28_Ind3545,1000100111101100011011010,5,20,0,0.95,1,4,0.9,4.379214045468368
14,Gen28_Ind3561,1000100111101100001101010,5,20,16,0.95,1,7,0.9,4.379214045468368
15,Gen28_Ind3552,1000100111111100011011100,5,20,192,0.4,1,1,0.99,4.379200661378289
16,Gen28_Ind3451,1000100111100100010011010,5,20,192,0.8,1,10,0.9,4.379190623364418
17,Gen28_Ind3453,1000100101101100011011100,5,20,192,0.95,1,6,0.99,4.3791738934435624
18,Gen28_Ind3478,1000100000001100011011100,5,20,0,0.2,1,2,0.99,4.379167201511011
19,Gen28_Ind3448,1000100111101100010011010,5,20,0,0.95,1,10,0.9,4.379143779908145
20,Gen28_Ind3475,1000100100111100001101010,5,20,128,0.5,1,7,0.9,4.379137088067628
21,Gen27_Ind3416,1000100011001000001101100,5,20,64,0.1,1,7,0.99,4.3791270503452004
22,Gen28_Ind3496,1000100111101100011011100,5,20,192,0.95,1,9,0.99,4.379120358555814
23,Gen28_Ind3537,1000100111011100011011100,5,20,192,0.6,1,3,0.99,4.379106975038393
24,Gen28_Ind3540,1000100011001000000101111,5,20,64,0.1,1,3,0.5,4.379100283310361
25,Gen28_Ind3536,1000100010101101001111011,5,20,32,0.95,3,8,0.95,4.379083554079753
26,Gen28_Ind3436,1000100101101000011011110,5,20,192,0.9,1,2,0.4,4.379060133371637
27,Gen28_Ind3500,1000100011101000011011101,5,20,64,0.9,1,5,0.4,4.379060133371637
28,Gen28_Ind3549,1000100001001001000111010,5,20,16,0.1,3,4,0.9,4.3790467502223365
29,Gen28_Ind3567,1000100111001000000011100,5,20,255,0.1,1,2,0.99,4.3790467502223365
30,Gen28_Ind3532,1000100111101111000111100,5,20,16,0.95,5,4,0.99,4.379023329907895
31,Gen28_Ind3524,1000100111110101000111100,5,20,32,0.8,3,4,0.99,4.379009946983548
32,Gen28_Ind3556,1000100110101101000001011,5,20,255,0.95,3,1,0.95,4.37900325555205
33,Gen28_Ind3530,1000100100001001011011100,5,20,128,0.1,3,9,0.99,4.378979835702847
34,Gen28_Ind3558,1000100101001000000111010,5,20,192,0.1,1,4,0.9,4.378973144363372
35,Gen28_Ind3491,1000100011101000101101100,5,20,64,0.9,2,7,0.99,4.378876122238954
36,Gen28_Ind3562,1000100111011001100011100,5,20,64,0.5,4,2,0.99,4.378862740214366
37,Gen28_Ind3438,1001100110101111000001011,5,5,255,0.95,1,1,0.95,4.378856049232744
38,Gen28_Ind3461,1000100101111101100111011,5,20,192,0.5,4,4,0.95,4.3788493582715695
39,Gen28_Ind3554,1000100111101000100011011,5,20,192,0.9,2,2,0.95,4.378822594631349
40,Gen28_Ind3568,1000100111101101110111111,5,20,255,0.95,4,2,0.2,4.378819249199325
41,Gen28_Ind3525,1001101101100101110111011,5,200,192,0.8,4,9,0.95,4.378782449784438
42,Gen28_Ind3557,1000100101111100100011011,5,20,192,0.2,2,2,0.95,4.378769068332377
43,Gen28_Ind3450,1000100111101110000111100,5,20,255,0.95,5,4,0.99,4.378762377637016
44,Gen28_Ind3509,1000100010101111010001110,5,20,32,0.95,3,9,0.05,4.378718888615552
45,Gen28_Ind3526,1000100011100110000011100,5,20,64,0.8,5,2,0.99,4.378678745670154
46,Gen28_Ind3468,1000100101101110010011100,5,20,192,0.95,5,10,0.99,4.378631913164119
47,Gen28_Ind3520,1000100111100110001111100,5,20,255,0.8,5,8,0.99,4.378581736590762
48,Gen28_Ind3459,1000100111101010011011001,5,20,16,0.9,5,2,0.8,4.378320836946018
49,Gen28_Ind3490,1000101010001001011011100,5,50,32,0.1,3,8,0.99,4.37249549698693
50,Gen28_Ind3472,1100101010001101001011100,3,50,32,0.2,3,6,0.99,4.372472146695595
51,Gen28_Ind3550,1000101110101101000001011,5,50,255,0.95,3,1,0.95,4.372465475229593
52,Gen27_Ind3373,1000101111100101000111100,5,50,192,0.8,3,4,0.99,4.372438789569165
53,Gen28_Ind3504,1000110001101100000111010,5,100,16,0.95,1,4,0.9,4.364238400510482
54,Gen28_Ind3517,1000110111101100100101100,5,100,32,0.95,2,3,0.99,4.3642217846390015
55,Gen28_Ind3513,1000110111001000001011100,5,100,64,0.1,1,6,0.99,4.364208492032913
56,Gen28_Ind3508,1000110110000101001011100,5,100,255,0.05,3,6,0.99,4.364151999360387
57,Gen28_Ind3483,1000110011011101010111010,5,100,64,0.6,3,2,0.9,4.364118769059739
58,Gen28_Ind3462,1000110111101110011011100,5,100,16,0.95,5,6,0.99,4.363450947312003
59,Gen28_Ind3447,1000110100101110011011100,5,100,128,0.95,5,7,0.99,4.363301462980882
60,Gen28_Ind3482,1000100011001000011101101,5,20,64,0.1,1,3,0.9,4.363254958833404
