Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen48_Ind6010,1000011111110100010011010,5,10,192,0.99,1,10,0.9,4.134776964078371
2,Gen54_Ind6800,1000011100110100010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
3,Gen56_Ind7111,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
4,Gen59_Ind7459,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
5,Gen60_Ind7531,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
6,Gen56_Ind7111,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
7,Gen60_Ind7618,1000011000101000010011010,5,10,0,0.9,1,10,0.9,4.134776964078371
8,Gen62_Ind7789,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
9,Gen62_Ind7822,1000011110101000010011010,5,10,255,0.9,1,10,0.9,4.134776964078371
10,Gen62_Ind7840,1000011100111100010011010,5,10,128,0.6,1,10,0.9,4.134776964078371
11,Gen67_Ind8412,1000011010101000010011010,5,10,32,0.9,1,10,0.9,4.134776964078371
12,Gen67_Ind8427,1000011011101000010011010,5,10,64,0.9,1,10,0.9,4.134776964078371
13,Gen67_Ind8432,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
14,Gen66_Ind8315,1000011101101000010011010,5,10,192,0.9,1,10,0.9,4.134776964078371
15,Gen67_Ind8487,1000011000101000010011010,5,10,0,0.9,1,10,0.9,4.134776964078371
16,Gen66_Ind8315,1000011101101000010011010,5,10,192,0.9,1,10,0.9,4.134776964078371
17,Gen67_Ind8437,1000011110101100010011010,5,10,255,0.95,1,10,0.9,4.134761842940132
18,Gen67_Ind8518,1000011111111100011101010,5,10,255,0.9,1,9,0.9,4.134187321628702
