Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen8_Ind903,1001111101110010110001010,5,20,192,0.99,1,9,0.9,4.379204007393139
2,Gen6_Ind689,1001001111101100001001100,5,20,64,0.95,1,5,0.99,4.379190623364418
3,Gen7_Ind776,1000100111101100001001100,5,20,64,0.95,1,5,0.99,4.379190623364418
4,Gen8_Ind911,1000100101100100000111100,5,20,192,0.8,1,4,0.99,4.3791738934435624
5,Gen8_Ind911,1000100101100100000111100,5,20,192,0.8,1,4,0.99,4.3791738934435624
6,Gen8_Ind939,1001110100100100001111100,5,500,128,0.8,1,8,0.99,4.379170547474731
7,Gen6_Ind631,1000100101000100001011100,5,20,192,0.05,1,6,0.99,4.379160509598913
8,Gen9_Ind1077,1000100101000100011011100,5,20,192,0.05,1,7,0.99,4.379130396247564
9,Gen9_Ind1034,1000100100011110101001100,5,20,128,0.6,1,5,0.99,4.379033367154837
10,Gen9_Ind1026,1000100101001110101001100,5,20,192,0.2,1,5,0.99,4.379009946983548
11,Gen9_Ind1037,1000100101011100001011100,5,20,192,0.6,1,6,0.99,4.379009946983548
12,Gen9_Ind1120,1001001011100011011001100,5,1,64,0.7,2,7,0.99,4.378909577658268
13,Gen6_Ind645,1001001011110001100001100,5,50,64,0.99,4,1,0.99,4.378906232093333
14,Gen8_Ind991,1000100000011110101001100,5,20,0,0.6,2,5,0.99,4.378866085712845
15,Gen7_Ind835,1001001011110001100011100,5,200,64,0.99,4,2,0.99,4.378862740214366
16,Gen8_Ind1010,1000100000100001100111010,5,20,0,0.7,4,4,0.9,4.378832630958093
17,Gen4_Ind468,1000100000011110001001100,5,20,0,0.6,5,5,0.99,4.378815903772413
18,Gen8_Ind991,1000100000011110101001100,5,20,0,0.6,2,5,0.99,4.378815903772413
19,Gen9_Ind1083,1000100000011110101101100,5,20,0,0.6,3,7,0.99,4.378792485927157
20,Gen9_Ind1143,1000100100011110001101100,5,20,128,0.6,5,7,0.99,4.378662019660138
21,Gen9_Ind1086,1000011100011101000101100,5,10,128,0.6,3,3,0.99,4.375790386638591
22,Gen9_Ind1138,1000011101100100100111100,5,10,192,0.8,2,4,0.99,4.375620012321994
23,Gen9_Ind1066,1000011101011100110001100,5,10,192,0.6,2,9,0.99,4.375583266659745
24,Gen9_Ind1119,1000011101011100110001100,5,10,192,0.6,2,9,0.99,4.375583266659745
25,Gen8_Ind979,1000011101100101101111100,5,10,192,0.8,4,8,0.99,4.375553202486042
26,Gen9_Ind1121,1000011101010001101111100,5,10,192,0.3,4,8,0.99,4.375546521614658
27,Gen2_Ind206,1000011100100010010001100,5,10,128,0.7,5,9,0.99,4.3755197983331335
28,Gen9_Ind1022,1000011100100010000001100,5,10,128,0.7,5,1,0.99,4.375419588934532
29,Gen8_Ind949,1010011100100010000111100,3,10,128,0.7,5,4,0.99,4.375366145798742
30,Gen9_Ind1129,1000011100100010010001001,5,10,128,0.7,5,9,0.8,4.375185784853697
31,Gen9_Ind1031,1010011100100010000001001,1,10,128,0.7,5,1,0.8,4.374491200137995
32,Gen9_Ind1048,1000101011110000000001100,5,50,64,0.99,1,1,0.99,4.37270899692918
33,Gen9_Ind1091,1000101000010011100101100,5,50,0,0.3,4,3,0.99,4.372515511720857
